matrix_index,block_group
370010201001,370010201001
370010201002,370010201002
370010201003,370010201003
370010201004,370010201004
370010202001,370010202001
370010202002,370010202002
370010202003,370010202003
370010202004,370010202004
370010203011,370010203011
370010203012,370010203012
370010203013,370010203013
370010203021,370010203021
370010203022,370010203022
370010204001,370010204001
370010204002,370010204002
370010204003,370010204003
370010204004,370010204004
370010204005,370010204005
370010205011,370010205011
370010205012,370010205012
370010205021,370010205021
370010205022,370010205022
370010205023,370010205023
370010206011,370010206011
370010206012,370010206012
370010206013,370010206013
370010206021,370010206021
370010206022,370010206022
370010207011,370010207011
370010207012,370010207012
370010207013,370010207013
370010207014,370010207014
370010207021,370010207021
370010207022,370010207022
370010207023,370010207023
370010207024,370010207024
370010208011,370010208011
370010208021,370010208021
370010208022,370010208022
370010208023,370010208023
370010208024,370010208024
370010208025,370010208025
370010208026,370010208026
370010209011,370010209011
370010209012,370010209012
370010209013,370010209013
370010209021,370010209021
370010209022,370010209022
370010210001,370010210001
370010210002,370010210002
370010210003,370010210003
370010211011,370010211011
370010211012,370010211012
370010211013,370010211013
370010211021,370010211021
370010211022,370010211022
370010211023,370010211023
370010212011,370010212011
370010212012,370010212012
370010212013,370010212013
370010212041,370010212041
370010212042,370010212042
370010212051,370010212051
370010212052,370010212052
370010212053,370010212053
370010212061,370010212061
370010212062,370010212062
370010212063,370010212063
370010212071,370010212071
370010212072,370010212072
370010213001,370010213001
370010213002,370010213002
370010213003,370010213003
370010213004,370010213004
370010213005,370010213005
370010214001,370010214001
370010214002,370010214002
370010215001,370010215001
370010215002,370010215002
370010215003,370010215003
370010216001,370010216001
370010216002,370010216002
370010216003,370010216003
370010216004,370010216004
370010217011,370010217011
370010217012,370010217012
370010217021,370010217021
370010217022,370010217022
370010217023,370010217023
370010217031,370010217031
370010217032,370010217032
370010217033,370010217033
370010218011,370010218011
370010218012,370010218012
370010218013,370010218013
370010218021,370010218021
370010218022,370010218022
370010218031,370010218031
370010218032,370010218032
370010219011,370010219011
370010219012,370010219012
370010219013,370010219013
370010219021,370010219021
370010219022,370010219022
370010219023,370010219023
370010220011,370010220011
370010220012,370010220012
370010220021,370010220021
370010220022,370010220022
370010220023,370010220023
370030401001,370030401001
370030401002,370030401002
370030401003,370030401003
370030402001,370030402001
370030402002,370030402002
370030402003,370030402003
370030403001,370030403001
370030403002,370030403002
370030404001,370030404001
370030404002,370030404002
370030404003,370030404003
370030404004,370030404004
370030404005,370030404005
370030405001,370030405001
370030405002,370030405002
370030405003,370030405003
370030405004,370030405004
370030406001,370030406001
370030406002,370030406002
370030406003,370030406003
370030406004,370030406004
370030407001,370030407001
370030407002,370030407002
370030407003,370030407003
370030407004,370030407004
370059501001,370059501001
370059501002,370059501002
370059501003,370059501003
370059501004,370059501004
370059502001,370059502001
370059502002,370059502002
370059502003,370059502003
370059502004,370059502004
370059503001,370059503001
370059503002,370059503002
370059503003,370059503003
370079201001,370079201001
370079201002,370079201002
370079201003,370079201003
370079202001,370079202001
370079203011,370079203011
370079203012,370079203012
370079203013,370079203013
370079203021,370079203021
370079204001,370079204001
370079204002,370079204002
370079204003,370079204003
370079205011,370079205011
370079205021,370079205021
370079205022,370079205022
370079205023,370079205023
370079205024,370079205024
370079206001,370079206001
370079206002,370079206002
370079206003,370079206003
370079800001,370079800001
370099702001,370099702001
370099702002,370099702002
370099702003,370099702003
370099703001,370099703001
370099703002,370099703002
370099704001,370099704001
370099704002,370099704002
370099704003,370099704003
370099705011,370099705011
370099705012,370099705012
370099705013,370099705013
370099705021,370099705021
370099705022,370099705022
370099705023,370099705023
370099707011,370099707011
370099707012,370099707012
370099707013,370099707013
370099707014,370099707014
370099707021,370099707021
370099707022,370099707022
370099708011,370099708011
370099708012,370099708012
370099708013,370099708013
370099708021,370099708021
370099708022,370099708022
370099708023,370099708023
370119301001,370119301001
370119301002,370119301002
370119301003,370119301003
370119302001,370119302001
370119302002,370119302002
370119302003,370119302003
370119303011,370119303011
370119303012,370119303012
370119303013,370119303013
370119303014,370119303014
370119303021,370119303021
370119303022,370119303022
370119303023,370119303023
370119304001,370119304001
370119304002,370119304002
370119304003,370119304003
370139301011,370139301011
370139301012,370139301012
370139301013,370139301013
370139301021,370139301021
370139301022,370139301022
370139301023,370139301023
370139302001,370139302001
370139302002,370139302002
370139302003,370139302003
370139302004,370139302004
370139303001,370139303001
370139303002,370139303002
370139303003,370139303003
370139304001,370139304001
370139304002,370139304002
370139304003,370139304003
370139304004,370139304004
370139305011,370139305011
370139305012,370139305012
370139305013,370139305013
370139305021,370139305021
370139305022,370139305022
370139305023,370139305023
370139306001,370139306001
370139306002,370139306002
370139306003,370139306003
370139307001,370139307001
370139307002,370139307002
370139307003,370139307003
370139308001,370139308001
370139308002,370139308002
370139308003,370139308003
370139309001,370139309001
370139309002,370139309002
370139309003,370139309003
370139309004,370139309004
370139310011,370139310011
370139310012,370139310012
370139310021,370139310021
370139310022,370139310022
370159601001,370159601001
370159601002,370159601002
370159601003,370159601003
370159601004,370159601004
370159601005,370159601005
370159601006,370159601006
370159602001,370159602001
370159602002,370159602002
370159602003,370159602003
370159603001,370159603001
370159603002,370159603002
370159603003,370159603003
370159604011,370159604011
370159604012,370159604012
370159604013,370159604013
370159604014,370159604014
370159604020,370159604020
370159604021,370159604021
370159604022,370159604022
370159604023,370159604023
370179501011,370179501011
370179501012,370179501012
370179501021,370179501021
370179501022,370179501022
370179501023,370179501023
370179502001,370179502001
370179502002,370179502002
370179503011,370179503011
370179503012,370179503012
370179503021,370179503021
370179503022,370179503022
370179503023,370179503023
370179504011,370179504011
370179504012,370179504012
370179504013,370179504013
370179504014,370179504014
370179504021,370179504021
370179504022,370179504022
370179505011,370179505011
370179505012,370179505012
370179505021,370179505021
370179505022,370179505022
370179505023,370179505023
370179505024,370179505024
370179506011,370179506011
370179506012,370179506012
370179506013,370179506013
370179506014,370179506014
370179506021,370179506021
370179506022,370179506022
370190201011,370190201011
370190201012,370190201012
370190201021,370190201021
370190201022,370190201022
370190201051,370190201051
370190201052,370190201052
370190201053,370190201053
370190201061,370190201061
370190201071,370190201071
370190201072,370190201072
370190201073,370190201073
370190201081,370190201081
370190201082,370190201082
370190202011,370190202011
370190202012,370190202012
370190202031,370190202031
370190202032,370190202032
370190202041,370190202041
370190202042,370190202042
370190202043,370190202043
370190202044,370190202044
370190202051,370190202051
370190202052,370190202052
370190202053,370190202053
370190202061,370190202061
370190203041,370190203041
370190203042,370190203042
370190203043,370190203043
370190203044,370190203044
370190203045,370190203045
370190203051,370190203051
370190203052,370190203052
370190203053,370190203053
370190203061,370190203061
370190203062,370190203062
370190203071,370190203071
370190203081,370190203081
370190203082,370190203082
370190203083,370190203083
370190203111,370190203111
370190203112,370190203112
370190203113,370190203113
370190203121,370190203121
370190203122,370190203122
370190203123,370190203123
370190203131,370190203131
370190203132,370190203132
370190203133,370190203133
