source,source_state,source_county,source_tract,source_tract_display,source_blockgroup,target,target_state,target_county,target_tract,target_tract_display,target_blockgroup
371570405012,37,157,040501,405.01,2,371570405021,37,157,040502,405.02,1
371570405012,37,157,040501,405.01,2,371570405022,37,157,040502,405.02,2
371570405012,37,157,040501,405.01,2,371570405023,37,157,040502,405.02,3
371570405012,37,157,040501,405.01,2,371570405013,37,157,040501,405.01,3
371570405012,37,157,040501,405.01,2,371570404003,37,157,040400,404.00,3
371570405012,37,157,040501,405.01,2,371570405011,37,157,040501,405.01,1
371570405012,37,157,040501,405.01,2,371570404001,37,157,040400,404.00,1
371570405013,37,157,040501,405.01,3,371570405023,37,157,040502,405.02,3
371570405013,37,157,040501,405.01,3,371570404003,37,157,040400,404.00,3
371570405021,37,157,040502,405.02,1,371570406021,37,157,040602,406.02,1
371570405021,37,157,040502,405.02,1,371570411006,37,157,041100,411.00,6
371570405021,37,157,040502,405.02,1,371570406022,37,157,040602,406.02,2
371570405021,37,157,040502,405.02,1,371570406013,37,157,040601,406.01,3
371570405021,37,157,040502,405.02,1,371570405022,37,157,040502,405.02,2
371570405021,37,157,040502,405.02,1,371570405011,37,157,040501,405.01,1
371570405022,37,157,040502,405.02,2,371570411006,37,157,041100,411.00,6
371570405022,37,157,040502,405.02,2,371570405023,37,157,040502,405.02,3
371570405022,37,157,040502,405.02,2,371570411004,37,157,041100,411.00,4
371570405022,37,157,040502,405.02,2,371570403003,37,157,040300,403.00,3
371119706003,37,111,970600,9706.00,3,371119708001,37,111,970800,9708.00,1
371119706003,37,111,970600,9706.00,3,371119709024,37,111,970902,9709.02,4
371119706003,37,111,970600,9706.00,3,371119707003,37,111,970700,9707.00,3
371119706003,37,111,970600,9706.00,3,371119706002,37,111,970600,9706.00,2
371119706003,37,111,970600,9706.00,3,371119701012,37,111,970101,9701.01,2
371119706001,37,111,970600,9706.00,1,371119706002,37,111,970600,9706.00,2
371119706001,37,111,970600,9706.00,1,371119705002,37,111,970500,9705.00,2
371119706001,37,111,970600,9706.00,1,371119703003,37,111,970300,9703.00,3
371119706001,37,111,970600,9706.00,1,371119704002,37,111,970400,9704.00,2
371119706001,37,111,970600,9706.00,1,371119703002,37,111,970300,9703.00,2
371119706001,37,111,970600,9706.00,1,371119701012,37,111,970101,9701.01,2
371119706001,37,111,970600,9706.00,1,371119701022,37,111,970102,9701.02,2
371119708003,37,111,970800,9708.00,3,371619602013,37,161,960201,9602.01,3
371119708003,37,111,970800,9708.00,3,370210032051,37,021,003205,32.05,1
371119708003,37,111,970800,9708.00,3,371119709023,37,111,970902,9709.02,3
371119708003,37,111,970800,9708.00,3,371119708002,37,111,970800,9708.00,2
371119708003,37,111,970800,9708.00,3,371119708001,37,111,970800,9708.00,1
371119708003,37,111,970800,9708.00,3,371119709024,37,111,970902,9709.02,4
371119708001,37,111,970800,9708.00,1,371119709023,37,111,970902,9709.02,3
371119708001,37,111,970800,9708.00,1,371119708002,37,111,970800,9708.00,2
