,GEOID,COI_Ward
0,370010201001,412
1,370010201002,411
2,370010201003,0
3,370010201004,412
4,370010202001,389
5,370010202002,217
6,370010202003,389
7,370010202004,217
8,370010203011,389
9,370010203012,217
10,370010203013,217
11,370010203021,389
12,370010203022,389
13,370010204001,389
14,370010204002,389
15,370010204003,412
16,370010204004,412
17,370010204005,1
18,370010205011,484
19,370010205012,411
20,370010205021,389
21,370010205022,389
22,370010205023,412
23,370010206011,411
24,370010206012,411
25,370010206013,411
26,370010206021,412
27,370010206022,411
28,370010207011,412
29,370010207012,411
30,370010207013,411
31,370010207014,412
32,370010207021,412
33,370010207022,412
34,370010207023,412
35,370010207024,412
36,370010208011,290
37,370010208021,217
38,370010208022,412
39,370010208023,412
40,370010208024,389
41,370010208025,389
42,370010208026,290
43,370010209011,290
44,370010209012,290
45,370010209013,411
46,370010209021,411
47,370010209022,484
48,370010210001,290
49,370010210002,290
50,370010210003,290
51,370010211011,290
52,370010211012,484
53,370010211013,290
54,370010211021,290
55,370010211022,290
56,370010211023,484
57,370010212011,484
58,370010212012,484
59,370010212013,484
60,370010212041,400
61,370010212042,484
62,370010212051,484
63,370010212052,484
64,370010212053,400
65,370010212061,484
66,370010212062,400
67,370010212063,400
68,370010212071,484
69,370010212072,484
70,370010213001,484
71,370010213002,484
72,370010213003,484
73,370010213004,484
74,370010213005,484
75,370010214001,484
76,370010214002,534
77,370010215001,484
78,370010215002,484
79,370010215003,484
80,370010216001,534
81,370010216002,534
82,370010216003,286
83,370010216004,286
84,370010217011,411
85,370010217012,411
86,370010217021,2
87,370010217022,411
88,370010217023,411
89,370010217031,412
90,370010217032,411
91,370010217033,412
92,370010218011,411
93,370010218012,484
94,370010218013,484
95,370010218021,484
96,370010218022,484
97,370010218031,484
98,370010218032,484
99,370010219011,484
100,370010219012,484
101,370010219013,484
102,370010219021,484
103,370010219022,484
104,370010219023,484
105,370010220011,484
106,370010220012,484
107,370010220021,484
108,370010220022,484
109,370010220023,484
110,370030401001,517
111,370030401002,477
112,370030401003,477
113,370030402001,517
114,370030402002,477
115,370030402003,477
116,370030403001,477
117,370030403002,477
118,370030404001,477
119,370030404002,477
120,370030404003,477
121,370030404004,477
122,370030404005,477
123,370030405001,477
124,370030405002,540
125,370030405003,540
126,370030405004,540
127,370030406001,477
128,370030406002,477
129,370030406003,3
130,370030406004,540
131,370030407001,477
132,370030407002,477
133,370030407003,477
134,370030407004,477
135,370059501001,517
136,370059501002,517
137,370059501003,517
138,370059501004,517
139,370059502001,517
140,370059502002,517
141,370059502003,517
142,370059502004,517
143,370059503001,517
144,370059503002,517
145,370059503003,517
146,370079201001,541
147,370079201002,369
148,370079201003,541
149,370079202001,490
150,370079203011,490
151,370079203012,541
152,370079203013,490
153,370079203021,490
154,370079204001,369
155,370079204002,369
156,370079204003,541
157,370079205011,541
158,370079205021,541
159,370079205022,541
160,370079205023,541
161,370079205024,541
162,370079206001,490
163,370079206002,541
164,370079206003,541
165,370079800001,4
166,370099702001,517
167,370099702002,517
168,370099702003,517
169,370099703001,517
170,370099703002,517
171,370099704001,517
172,370099704002,517
173,370099704003,517
174,370099705011,517
175,370099705012,517
176,370099705013,517
177,370099705021,517
178,370099705022,517
179,370099705023,517
180,370099707011,517
181,370099707012,517
182,370099707013,477
183,370099707014,477
184,370099707021,517
185,370099707022,517
186,370099708011,517
187,370099708012,517
188,370099708013,517
189,370099708021,517
190,370099708022,517
191,370099708023,517
192,370119301001,347
193,370119301002,518
194,370119301003,518
195,370119302001,347
196,370119302002,477
197,370119302003,347
198,370119303011,518
199,370119303012,518
200,370119303013,518
201,370119303014,518
202,370119303021,518
203,370119303022,518
204,370119303023,518
205,370119304001,5
206,370119304002,477
207,370119304003,518
208,370139301011,170
209,370139301012,170
210,370139301013,546
211,370139301021,430
212,370139301022,430
213,370139301023,6
214,370139302001,430
215,370139302002,546
216,370139302003,546
217,370139302004,403
218,370139303001,430
219,370139303002,229
220,370139303003,546
221,370139304001,430
222,370139304002,546
223,370139304003,229
224,370139304004,7
225,370139305011,229
226,370139305012,546
227,370139305013,229
228,370139305021,546
229,370139305022,546
230,370139305023,546
231,370139306001,546
232,370139306002,546
233,370139306003,476
234,370139307001,476
235,370139307002,476
236,370139307003,546
237,370139308001,476
238,370139308002,546
239,370139308003,546
240,370139309001,476
241,370139309002,476
242,370139309003,476
243,370139309004,476
244,370139310011,546
245,370139310012,546
246,370139310021,546
247,370139310022,546
248,370159601001,488
249,370159601002,488
250,370159601003,281
251,370159601004,488
252,370159601005,212
253,370159601006,212
254,370159602001,463
255,370159602002,488
256,370159602003,463
257,370159603001,463
258,370159603002,463
259,370159603003,463
260,370159604011,488
261,370159604012,463
262,370159604013,160
263,370159604014,160
264,370159604020,542
265,370159604021,463
266,370159604022,463
267,370159604023,8
268,370179501011,492
269,370179501012,419
270,370179501021,492
271,370179501022,391
272,370179501023,391
273,370179502001,391
274,370179502002,391
275,370179503011,394
276,370179503012,492
277,370179503021,394
278,370179503022,394
279,370179503023,492
280,370179504011,391
281,370179504012,391
282,370179504013,391
283,370179504014,394
284,370179504021,492
285,370179504022,391
286,370179505011,492
287,370179505012,394
288,370179505021,492
289,370179505022,394
290,370179505023,492
291,370179505024,9
292,370179506011,391
293,370179506012,137
294,370179506013,137
295,370179506014,394
296,370179506021,492
297,370179506022,394
298,370190201011,492
299,370190201012,492
300,370190201021,492
301,370190201022,194
302,370190201051,500
303,370190201052,194
304,370190201053,194
305,370190201061,500
306,370190201071,10
307,370190201072,500
308,370190201073,500
309,370190201081,492
310,370190201082,492
311,370190202011,500
312,370190202012,500
313,370190202031,500
314,370190202032,500
315,370190202041,500
316,370190202042,454
317,370190202043,500
318,370190202044,454
319,370190202051,11
320,370190202052,500
321,370190202053,374
322,370190202061,500
323,370190203041,454
324,370190203042,124
325,370190203043,124
326,370190203044,454
327,370190203045,454
328,370190203051,314
329,370190203052,454
330,370190203053,454
331,370190203061,454
332,370190203062,454
333,370190203071,12
334,370190203081,358
335,370190203082,454
336,370190203083,454
337,370190203111,454
338,370190203112,454
339,370190203113,454
340,370190203121,454
341,370190203122,454
342,370190203123,454
343,370190203131,314
344,370190203132,314
345,370190203133,314
346,370190203141,358
347,370190203151,314
348,370190203152,314
349,370190203153,314
350,370190203154,314
351,370190203161,314
352,370190204041,492
353,370190204042,492
354,370190204043,271
355,370190204051,492
356,370190204052,454
357,370190204053,454
358,370190204061,358
359,370190204062,358
360,370190204063,358
361,370190204071,271
362,370190204072,271
363,370190204073,271
364,370190204081,492
365,370190204082,271
366,370190204083,13
367,370190204091,271
368,370190204092,271
369,370190204093,271
370,370190204094,271
371,370190205041,238
372,370190205042,238
373,370190205043,238
374,370190205051,492
375,370190205052,362
376,370190205053,492
377,370190205081,513
378,370190205082,513
379,370190205083,513
380,370190205084,362
381,370190205101,513
382,370190205102,362
383,370190205103,362
384,370190205104,513
385,370190205111,362
386,370190205112,271
387,370190205113,362
388,370190205121,418
389,370190205122,418
390,370190205123,358
391,370190205124,358
392,370190205131,362
393,370190205132,14
394,370190205141,362
395,370190205142,362
396,370190205143,362
397,370190205151,238
398,370190205152,238
399,370190205153,238
400,370190205154,238
401,370190205161,238
402,370190205162,238
403,370190205163,238
404,370190205171,362
405,370190205172,513
406,370190205173,362
407,370190205174,513
408,370190205181,513
409,370190205182,513
410,370190205183,362
411,370190206011,492
412,370190206012,492
413,370190206013,492
414,370190206021,500
415,370190206022,500
416,370190206023,500
417,370190206031,454
418,370190206032,492
419,370199901000,542
420,370210001001,233
421,370210001002,233
422,370210002001,348
423,370210002002,420
424,370210003001,202
425,370210003002,420
426,370210004001,202
427,370210004002,202
428,370210004003,420
429,370210005001,388
430,370210005002,420
431,370210005003,388
432,370210006001,420
433,370210006002,420
434,370210007001,420
435,370210008001,420
436,370210008002,420
437,370210008003,420
438,370210009001,348
439,370210009002,348
440,370210009003,348
441,370210010001,193
442,370210010002,193
443,370210011001,193
444,370210011002,193
445,370210011003,193
446,370210012001,408
447,370210012002,193
448,370210012003,408
449,370210012004,193
450,370210012005,408
451,370210013001,408
452,370210013002,408
453,370210013003,408
454,370210014011,471
455,370210014012,408
456,370210014013,408
457,370210014021,471
458,370210014022,202
459,370210015001,471
460,370210015002,388
461,370210016011,388
462,370210016012,388
463,370210016021,388
464,370210016022,388
465,370210017001,388
466,370210017002,388
467,370210018011,348
468,370210018012,348
469,370210018021,348
470,370210018022,388
471,370210019001,452
472,370210019002,348
473,370210020001,348
474,370210020002,348
475,370210020003,348
476,370210020004,348
477,370210021011,164
478,370210021021,452
479,370210021022,348
480,370210021023,15
481,370210022031,186
482,370210022032,186
483,370210022033,186
484,370210022041,164
485,370210022042,371
486,370210022043,371
487,370210022044,371
488,370210022051,452
489,370210022052,452
490,370210022053,186
491,370210022061,452
492,370210022062,452
493,370210023031,471
494,370210023032,452
495,370210023033,193
496,370210023034,471
497,370210023041,452
498,370210023051,452
499,370210023052,452
500,370210023061,452
501,370210023062,193
502,370210024011,471
503,370210024012,471
504,370210024021,471
505,370210024022,471
506,370210024023,471
507,370210025031,471
508,370210025032,471
509,370210025033,471
510,370210025041,471
511,370210025042,452
512,370210025043,452
513,370210025051,452
514,370210025052,452
515,370210025053,452
516,370210025061,408
517,370210025062,408
518,370210025063,16
519,370210026031,471
520,370210026032,471
521,370210026041,471
522,370210026042,471
523,370210026043,471
524,370210026044,471
525,370210026061,471
526,370210026062,471
527,370210026063,471
528,370210026071,471
529,370210026072,471
530,370210026073,471
531,370210026081,471
532,370210026082,471
533,370210026083,408
534,370210026084,471
535,370210026085,471
536,370210026091,471
537,370210027011,471
538,370210027012,388
539,370210027013,17
540,370210027021,388
541,370210027022,388
542,370210027023,388
543,370210027041,512
544,370210027042,512
545,370210027043,512
546,370210027044,512
547,370210027051,512
548,370210028031,471
549,370210028032,512
550,370210028033,471
551,370210028041,471
552,370210028042,512
553,370210028043,512
554,370210029001,512
555,370210029002,313
556,370210029003,512
557,370210030021,452
558,370210030022,452
559,370210030023,452
560,370210030024,512
561,370210030031,452
562,370210030032,512
563,370210030033,348
564,370210030041,512
565,370210030042,512
566,370210031031,512
567,370210031051,512
568,370210031052,512
569,370210031053,512
570,370210031061,512
571,370210031071,512
572,370210031072,512
573,370210031073,512
574,370210031074,512
575,370210031081,18
576,370210032011,452
577,370210032021,452
578,370210032022,512
579,370210032023,452
580,370210032024,512
581,370210032031,512
582,370210032032,512
583,370210032033,452
584,370210032041,512
585,370210032042,512
586,370210032043,512
587,370210032051,512
588,370230201001,518
589,370230201002,357
590,370230201003,357
591,370230202021,499
592,370230202022,499
593,370230202031,518
594,370230202032,518
595,370230202041,499
596,370230202042,499
597,370230203011,499
598,370230203012,499
599,370230203013,499
600,370230203014,499
601,370230203031,499
602,370230203032,499
603,370230203033,499
604,370230203041,499
605,370230203042,499
606,370230205001,291
607,370230205002,499
608,370230206001,291
609,370230206002,291
610,370230206003,291
611,370230206004,291
612,370230206005,291
613,370230208011,477
614,370230208012,357
615,370230208013,357
616,370230208021,477
617,370230208022,477
618,370230209011,477
619,370230209012,477
620,370230209021,477
621,370230209022,477
622,370230209023,499
623,370230210001,499
624,370230210002,499
625,370230210003,499
626,370230210004,19
627,370230211001,499
628,370230211002,499
629,370230211003,477
630,370230211004,477
631,370230212011,499
632,370230212012,499
633,370230212013,499
634,370230212021,499
635,370230212022,499
636,370230212023,499
637,370230212031,499
638,370230212032,499
639,370230213011,499
640,370230213012,291
641,370230213013,499
642,370230213014,20
643,370230213021,499
644,370230213022,499
645,370230213023,499
646,370230214001,291
647,370230214002,291
648,370230214003,291
649,370250405011,236
650,370250405012,236
651,370250405013,236
652,370250405014,236
653,370250405015,236
654,370250405021,236
655,370250405022,533
656,370250405023,533
657,370250406001,533
658,370250406002,533
659,370250406003,533
660,370250406004,533
661,370250407011,275
662,370250407012,275
663,370250407031,372
664,370250407032,443
665,370250407041,372
666,370250407042,372
667,370250407051,533
668,370250407052,275
669,370250408001,372
670,370250408002,372
671,370250408003,372
672,370250409001,372
673,370250410011,372
674,370250410012,372
675,370250410021,372
676,370250410022,275
677,370250411001,372
678,370250411002,472
679,370250411003,472
680,370250411004,472
681,370250412011,372
682,370250412012,472
683,370250412021,372
684,370250412022,472
685,370250412023,472
686,370250413011,366
687,370250413012,472
688,370250413041,366
689,370250413042,472
690,370250413051,472
691,370250413052,472
692,370250413061,436
693,370250413062,366
694,370250413071,366
695,370250413072,366
696,370250413073,366
697,370250415031,274
698,370250415041,274
699,370250415042,274
700,370250415051,274
701,370250415052,274
702,370250415053,274
703,370250415061,318
