BG_GEOID,CD
370010201001,04
370010201002,04
370010201003,04
370010201004,04
370010202001,04
370010202002,04
370010202003,04
370010202004,04
370010203011,04
370010203012,04
370010203013,04
370010203021,04
370010203022,04
370010204001,04
370010204002,04
370010204003,04
370010204004,04
370010204005,04
370010205011,04
370010205012,04
370010205021,04
370010205022,04
370010205023,04
370010206011,04
370010206012,04
370010206013,04
370010206021,04
370010206022,04
370010207011,04
370010207012,04
370010207013,04
370010207014,04
370010207021,04
370010207022,04
370010207023,04
370010207024,04
370010208011,04
370010208021,04
370010208022,04
370010208023,04
370010208024,04
370010208025,04
370010208026,04
370010209011,04
370010209012,04
370010209013,04
370010209021,04
370010209022,04
370010210001,04
370010210002,04
370010210003,04
370010211011,04
370010211012,04
370010211013,04
370010211021,04
370010211022,04
370010211023,04
370010212011,04
370010212012,04
370010212013,04
370010212041,04
370010212042,04
370010212051,04
370010212052,04
370010212053,04
370010212061,04
370010212062,04
370010212063,04
370010212071,04
370010212072,04
370010213001,04
370010213002,04
370010213003,04
370010213004,04
370010213005,04
370010214001,04
370010214002,04
370010215001,04
370010215002,04
370010215003,04
370010216001,04
370010216002,04
370010216003,04
370010216004,04
370010217011,04
370010217012,04
370010217021,04
370010217022,04
370010217023,04
370010217031,04
370010217032,04
370010217033,04
370010218011,04
370010218012,04
370010218013,04
370010218021,04
370010218022,04
370010218031,04
370010218032,04
370010219011,04
370010219012,04
370010219013,04
370010219021,04
370010219022,04
370010219023,04
370010220011,04
370010220012,04
370010220021,04
370010220022,04
370010220023,04
370030401001,10
370030401002,10
370030401003,10
370030402001,10
370030402002,10
370030402003,10
370030403001,10
370030403002,10
370030404001,10
370030404002,10
370030404003,10
370030404004,10
370030404005,10
370030405001,10
370030405002,10
370030405003,10
370030405004,10
370030406001,10
370030406002,10
370030406003,10
370030406004,10
370030407001,10
370030407002,10
370030407003,10
370030407004,10
370059501001,05
370059501002,05
370059501003,05
370059501004,05
370059502001,05
370059502002,05
370059502003,05
370059502004,05
370059503001,05
370059503002,05
370059503003,05
370079201001,08
370079201002,08
370079201003,08
370079202001,08
370079203011,08
370079203012,08
370079203013,08
370079203021,08
370079204001,08
370079204002,08
370079204003,08
370079205011,08
370079205021,08
370079205022,08
370079205023,08
370079205024,08
370079206001,08
370079206002,08
370079206003,08
370079800001,08
370099702001,05
370099702002,05
370099702003,05
370099703001,05
370099703002,05
370099704001,05
370099704002,05
370099704003,05
370099705011,05
370099705012,05
370099705013,05
370099705021,05
370099705022,05
370099705023,05
370099707011,05
370099707012,05
370099707013,05
370099707014,05
370099707021,05
370099707022,05
370099708011,05
370099708012,05
370099708013,05
370099708021,05
370099708022,05
370099708023,05
370119301001,05
370119301002,05
370119301003,05
370119302001,05
370119302002,05
370119302003,05
370119303011,05
370119303012,05
370119303013,05
370119303014,05
370119303021,05
370119303022,05
370119303023,05
370119304001,05
370119304002,05
370119304003,05
370139301011,03
370139301012,03
370139301013,03
370139301021,03
370139301022,03
370139301023,03
370139302001,03
370139302002,03
370139302003,03
370139302004,03
370139303001,03
370139303002,03
370139303003,03
370139304001,03
370139304002,03
370139304003,03
370139304004,03
370139305011,03
370139305012,03
370139305013,03
370139305021,03
370139305022,03
370139305023,03
370139306001,03
370139306002,03
370139306003,03
370139307001,03
370139307002,03
370139307003,03
370139308001,03
370139308002,03
370139308003,03
370139309001,03
370139309002,03
370139309003,03
370139309004,03
370139310011,03
370139310012,03
370139310021,03
370139310022,03
370159601001,01
370159601002,01
370159601003,01
370159601004,01
370159601005,01
370159601006,01
370159602001,01
370159602002,01
370159602003,01
370159603001,01
370159603002,01
370159603003,01
370159604011,01
370159604012,01
370159604013,01
370159604014,01
370159604020,01
370159604021,01
370159604022,01
370159604023,01
370179501011,07
370179501012,07
370179501021,07
370179501022,07
370179501023,07
370179502001,07
370179502002,07
370179503011,07
370179503012,07
370179503021,07
370179503022,07
370179503023,07
370179504011,07
370179504012,07
370179504013,07
370179504014,07
370179504021,07
370179504022,07
370179505011,07
370179505012,07
370179505021,07
370179505022,07
370179505023,07
370179505024,07
370179506011,07
370179506012,07
370179506013,07
370179506014,07
370179506021,07
370179506022,07
370190201011,07
370190201012,07
370190201021,07
370190201022,07
370190201051,07
370190201052,07
370190201053,07
370190201061,07
370190201071,07
370190201072,07
370190201073,07
370190201081,07
370190201082,07
370190202011,07
370190202012,07
370190202031,07
370190202032,07
370190202041,07
370190202042,07
370190202043,07
370190202044,07
370190202051,07
370190202052,07
370190202053,07
370190202061,07
370190203041,07
370190203042,07
370190203043,07
370190203044,07
370190203045,07
370190203051,07
370190203052,07
370190203053,07
370190203061,07
370190203062,07
370190203071,07
370190203081,07
370190203082,07
370190203083,07
370190203111,07
370190203112,07
370190203113,07
370190203121,07
370190203122,07
370190203123,07
370190203131,07
370190203132,07
370190203133,07
370190203141,07
370190203151,07
370190203152,07
370190203153,07
370190203154,07
370190203161,07
370190204041,07
370190204042,07
370190204043,07
370190204051,07
370190204052,07
370190204053,07
370190204061,07
370190204062,07
370190204063,07
370190204071,07
370190204072,07
370190204073,07
370190204081,07
370190204082,07
370190204083,07
370190204091,07
370190204092,07
370190204093,07
370190204094,07
370190205041,07
370190205042,07
370190205043,07
370190205051,07
370190205052,07
370190205053,07
370190205081,07
370190205082,07
370190205083,07
370190205084,07
370190205101,07
370190205102,07
370190205103,07
370190205104,07
370190205111,07
370190205112,07
370190205113,07
370190205121,07
370190205122,07
370190205123,07
370190205124,07
370190205131,07
370190205132,07
370190205141,07
370190205142,07
370190205143,07
370190205151,07
370190205152,07
370190205153,07
370190205154,07
370190205161,07
370190205162,07
370190205163,07
370190205171,07
370190205172,07
370190205173,07
370190205174,07
370190205181,07
370190205182,07
370190205183,07
370190206011,07
370190206012,07
370190206013,07
370190206021,07
370190206022,07
370190206023,07
370190206031,07
370190206032,07
370199901000,07
370210001001,11
370210001002,11
370210002001,11
370210002002,11
370210003001,11
370210003002,11
370210004001,11
370210004002,11
370210004003,11
370210005001,11
370210005002,11
370210005003,11
370210006001,11
370210006002,11
370210007001,11
